series_name,seasons_list
纸朋友,"[('纸朋友 第2季', 72775), ('纸朋友 第3季', 72774), ('纸朋友 第1季', 72772)]"
给我来个小狐狸,"[('给我来个小狐狸', 42538)]"
绿野森林的故事,"[('绿野森林的故事', 72918)]"
缔灵爱,"[('缔灵爱之默水玲珑', 102134), ('缔灵爱之默水玲珑', 102134)]"
罗米熊与丹米兔,"[('罗米熊与丹米兔', 72593)]"
美猴王,"[('美猴王', 80049)]"
聪明的笨小猪,"[('聪明的笨小猪', 47607)]"
聪明的阿凡提,"[('聪明的阿凡提', 75628)]"
胶囊计划,"[('胶囊计划 第二季', 46555), ('胶囊计划 英雄', 48806)]"
胶囊计划 英雄,"[('胶囊计划 英雄', 48806)]"
航天双子星,"[('航天双子星 第二季', 99798)]"
船员历险记,"[('船员历险记之其乐融融', 46713)]"
节气小精灵,"[('节气小精灵', 46857)]"
苍兰诀,"[('苍兰诀', 103580)]"
荒岛历险记,"[('荒岛历险记之罗克和编程猫', 72765)]"
菠萝王国,"[('菠萝王国', 72782)]"
萌果乐多多,"[('萌果乐多多之水果勋章 第二季', 46794)]"
蔬菜不寂寞,"[('蔬菜不寂寞 第四十二季', 46808), ('蔬菜不寂寞 第四十一季', 46807), ('蔬菜不寂寞 第四十季', 46806), ('蔬菜不寂寞 第三十九季', 46805), ('蔬菜不寂寞 第三十八季', 46804), ('蔬菜不寂寞 第三十七季', 46803), ('蔬菜不寂寞 第三十六季', 46802), ('蔬菜不寂寞 第三十五季', 46801), ('蔬菜不寂寞 第三十四季', 46800), ('蔬菜不寂寞 第三十三季', 46799), ('蔬菜不寂寞 第三十二季', 46798), ('蔬菜不寂寞 第三十一季', 46797), ('蔬菜不寂寞 第44季', 72515), ('蔬菜不寂寞 第45季', 72518), ('蔬菜不寂寞 第46季', 72519), ('蔬菜不寂寞 第43季', 72514)]"
虎鹤妖师录,"[('虎鹤妖师录', 45960)]"
虚无边境,"[('虚无边境 粤语版', 47657), ('虚无边境 粤语版', 47657)]"
虫小绿历史为什么,"[('虫小绿历史为什么之生活篇', 48815), ('虫小绿历史为什么之发明篇', 47787), ('虫小绿历史为什么之神话篇', 47786), ('虫小绿历史为什么之穿越篇', 97550)]"
虹猫蓝兔七侠传,"[('虹猫蓝兔七侠传 英文版', 92534)]"
虹猫蓝兔海底历险记,"[('虹猫蓝兔海底历险记 英文版', 92535)]"
蛮荒仙界,"[('蛮荒仙界', 85593)]"
西游漫记,"[('西游漫记', 47661)]"
论语智慧,"[('论语智慧', 72900)]"
请吃红小豆吧！食物世界,"[('请吃红小豆吧！食物世界 第一季', 48807)]"
诸葛亮,"[('诸葛亮之定军山', 72895)]"
豆豆一家人,"[('豆豆一家人', 72917)]"
豫游记,"[('豫游记之信阳篇', 46834)]"
财宝小狐狸,"[('财宝小狐狸', 47653)]"
贾老爷开店,"[('贾老爷开店', 46886)]"
赘婿,"[('赘婿 第二季', 47998)]"
赛几传说,"[('赛几传说', 73197)]"
赛尔号,"[('赛尔号 第3季', 48099), ('赛尔号 第4季', 48098), ('赛尔号 第5季', 48097), ('赛尔号 第6季', 48096), ('赛尔号 第7季', 48095), ('赛尔号 第8季', 48094), ('赛尔号 第9季', 48093), ('赛尔号 第10季', 48092)]"
超元绝战,"[('超元绝战之传说卡', 72915)]"
超变兽车侠,"[('超变兽车侠', 47723)]"
超变战陀,"[('超变战陀5百变战陀', 46349), ('超变战陀之百变战陀2', 47722)]"
超级微信,"[('超级微信', 47195)]"
超级球迷,"[('超级球迷', 47662)]"
趣说中华名人故事,"[('趣说中华名人故事 第1季', 72784)]"
趣说经典,"[('趣说经典之论语学堂', 74400)]"
路,"[('明日方舟：冬隐归路 中配版', 46005), ('明日方舟：冬隐归路', 46004), ('土豆多励之一梦一路第二季', 40487), ('最强反套路系统 第二季 动态漫', 103007), ('冰封末日：绝无生还之路 动态漫', 88935)]"
跳跳鱼世界,"[('跳跳鱼世界故事会', 99794), ('跳跳鱼世界 第七季', 46724)]"
跳跳鱼世界故事会,"[('跳跳鱼世界故事会', 99794)]"
车宝乐园,"[('车宝乐园之变形工程车', 72956)]"
转战,"[('转战之超旋斗士', 72927)]"
这个大佬画风不对,"[('这个大佬画风不对 动态漫', 103016)]"
逐梦少年,"[('逐梦少年', 44364)]"
通灵妃,"[('通灵妃 第二季', 45974)]"
道君,"[('道君 动态漫', 102998)]"
邂逅她的少女时代,"[('邂逅她的少女时代', 45977)]"
那年那兔那些事儿,"[('那年那兔那些事儿 第七季', 80930)]"
都市最强仙尊,"[('都市最强仙尊', 47191)]"
都市最强房东,"[('都市最强房东', 47193)]"
都市神医：七个师姐保我无敌,"[('都市神医：七个师姐保我无敌', 46223)]"
都市阴阳仙医,"[('都市阴阳仙医 动态漫', 102867)]"
重生,"[('重生归来：直接无敌', 47192), ('重生之神级败家子 动态漫', 103015), ('重生都市天尊 动态漫', 102892)]"
重生归来：直接无敌,"[('重生归来：直接无敌', 47192)]"
重生都市天尊,"[('重生都市天尊 动态漫', 102892)]"
金蚕往事,"[('金蚕往事', 100085)]"
钟南山的故事,"[('钟南山的故事', 46981)]"
钟点父子,"[('钟点父子', 47651)]"
钢铁飞龙,"[('钢铁飞龙4捕梦奇兵', 46465)]"
银河封神纪,"[('银河封神纪 第1季', 72722)]"
镇魂街,"[('镇魂街 第三季', 43547), ('镇魂街 第四季', 48578)]"
长歌行,"[('长歌行', 39660)]"
闪亮闪亮太伶美,"[('闪亮闪亮太伶美 第2季', 72728), ('闪亮闪亮太伶美 第1季', 72725)]"
阿U学堂,"[('阿U学堂之中华诗词篇', 46978)]"
阿U学英语,"[('阿U学英语', 72681)]"
阿优学科学,"[('阿优学科学 第二季', 46969)]"
阿诺德和他可爱的木偶们,"[('阿诺德和他可爱的木偶们 日文版', 48159), ('阿诺德和他可爱的木偶们 英文版', 47671), ('阿诺德和他可爱的木偶们 繁体中文版', 47670), ('阿诺德和他可爱的木偶们 日文版', 48159)]"
隐身探长,"[('隐身探长', 47604)]"
雪孩子,"[('雪孩子', 47497)]"
雪王,"[('雪王之奇幻沙州', 74497), ('雪王之奇幻沙州', 74497)]"
霸王龙雷奇,"[('霸王龙雷奇 第二季', 73403), ('霸王龙雷奇 第二季', 73403)]"
青田小田鱼,"[('青田小田鱼 第2季', 72942), ('青田小田鱼 第1季', 72941)]"
非人哉,"[('非人哉 第三季', 101854)]"
风尘小游侠,"[('风尘小游侠', 47610)]"
风速少年团,"[('风速少年团 第1季', 72696)]"
飞天狐和卡卡,"[('飞天狐和卡卡', 72892)]"
飞越五千年,"[('飞越五千年 第2季', 72569)]"
飞龙天降,"[('飞龙天降', 47654)]"
食草老龙被冠以恶龙之名,"[('食草老龙被冠以恶龙之名 第二季 日语版', 48503), ('食草老龙被冠以恶龙之名 第二季', 48502)]"
魔方战士,"[('魔方战士 第1季', 72724)]"
魔法可可,"[('魔法可可', 72928)]"
魔法学院,"[('魔法学院 第六季', 46856), ('魔法学院 第三季', 99799)]"
魔鬼芯片,"[('魔鬼芯片', 47659)]"
鲲吞天下,"[('鲲吞天下 动态漫', 47797), ('鲲吞天下之掌门归来', 45965)]"
鸭丫俱乐部,"[('鸭丫俱乐部 第2季', 72726)]"
鹿宝贝朗迪,"[('鹿宝贝朗迪', 72945)]"
鹿铃,"[('鹿铃', 47510)]"
黑云国历险记,"[('黑云国历险记', 46823)]"
黑神话：悟空,"[('六样情——《黑神话：悟空》章节动画原版合集', 48625)]"
龅牙的快乐生活,"[('龅牙的快乐生活', 101731)]"
龙宝小英雄,"[('龙宝小英雄 第2季', 72738)]"
