original_name,imdb_name,rating,votes,imdbid
猪迪克之古怪岛大冒险 第1季,Kill Bill: Vol. 1,8.2,"1,259,314",tt0266697
坏丫头：奔跑吧，哈尼,,,,
中华廉政故事 第1季,Kill Bill: Vol. 1,8.2,"1,259,314",tt0266697
淘气猪多多之我爱画画 第四季,,,,
The Fire Hunter,The Fire Hunter,5.9,223,tt21912036
快乐东西2,Terminator 2: Judgment Day,8.6,"1,241,481",tt0103064
燃烧的蔬菜之神奇大陆,,,,
My Milk Cup Cow,My Milk Cup Cow,6.2,21,tt4689260
One Thousands One Nights Save the Golden City,,,,
龙威小子,,,,
龙威小子,,,,
Unico: In the Magic Island,,,,
Unico: In the Magic Island,,,,
Unico: In the Magic Island,,,,
神奇画笔看世界,,,,
燃烧的蔬菜之神奇大陆,,,,
霸王龙雷奇 第二季,,,,
Minuscule: Valley of the Lost Ants,Minuscule: Valley of the Lost Ants,7.1,"9,461",tt2368672
Simon Sucks,,,,
双生灵探,,,,
木头风纪委员和迷你裙JK的故事,Magic Beyond Words: The J.K. Rowling Story,6.6,"2,866",tt1979269
成语动画廊,,,,
反骨,,,,
哈哈滑小稽,,,,
桃花夫人,,,,
燃烧的蔬菜之神奇大陆,,,,
快乐小郑星,,,,
燃烧的蔬菜之神奇大陆,,,,
时光代理人 英都篇,,,,
雪王之奇幻沙州,,,,
胶囊计划 英雄,,,,
全职高手荣耀小剧场,,,,
镇魂街 第四季,,,,
恰同学少年,,,,
暂停！智序重组,,,,
元气奇事2,Terminator 2: Judgment Day,8.6,"1,241,481",tt0103064
紫川 第二季,,,,
开局地摊卖大力,,,,
在下“英台”,,,,
是王者啊？第五季,,,,
精灵梦叶罗丽 第十一季,,,,
双生武魂,,,,
非人哉 第三季,,,,
如果历史是一群喵 元末明初篇,,,,
苍兰诀 第二季,,,,
是假千金也要手握团宠剧本,,,,
龙族Ⅱ 悼亡者之瞳,,,,
通灵妃 第二季,,,,
妖神记 第九季,,,,
斗罗大陆剧场版 剑道尘心,,,,
缔灵爱之默水玲珑,,,,
我为刀宗,,,,
赵琳的探险日记2,Terminator 2: Judgment Day,8.6,"1,241,481",tt0103064
新·异常生物见闻录：序,,,,
云深不知梦,,,,
喜羊羊与灰太狼之狂野新宇宙,,,,
葫芦兄妹,,,,
夜光溯明,,,,
凌天独尊,,,,
《崩坏：星穹铁道》动画短片：「听！狂欢在那神佑的山巅」,,,,
【无职转生同人动画】血契之约,,,,
鬼吹灯之南海归墟,,,,
Hou Yi - The Lord Archer,,,,
武碎星河,,,,
玲珑骰,,,,
神墓 年番,,,,
百妖谱·洛阳篇,,,,
缥缈剑仙传,,,,
万剑王座,,,,
斗破苍穹 年番4,John Wick: Chapter 4,7.6,"386,853",tt10366206
信息素说我们不可能 动态漫,,,,
Tom and Jerry: Forbidden Compass,,,,
向着星辰的长征,,,,
